Address,Host Organization,Notes,Title,Event Type,Event Group,More Info Url,All Dates,Next Date times,Next Date,longitude,latitude,location
222 8 Avenue SE,The Alex Community Health Centre,"The People¿s Gathering honours the many diverse Indigenous cultures in Canada, including the Metis, Inuit and First Nations during Aboriginal Awareness Week.  Opening with a traditional Grand Entry, the event offers rich cultural experiences including traditional drumming and dancing.  The event is a celebration of community and neighbourhood spirit.",The People's Gathering,Community event,Event,http://www.thealex.ca,Jun 21 2019 11 a.m. - 1 p.m.,June 21 2019 11 a.m. - 1 p.m.,2019/06/21,-114.059478999766,51.0457489997706,"(51.0457489997706, -114.059478999766)"
2424 University Drive NW,MULTISPORTSCANADA,Annual womens only triathlon benefitting the YWCA,Wild Rose Triathlon,,Event,http://wildrosetriathlon.ca/,Jun 23 2019 1 - 4 p.m.,June 23 2019 1 - 4 p.m.,2019/06/23,-114.124130999597,51.0712089998171,"(51.0712089998171, -114.124130999597)"
1220 9 Avenue SW,AEG Presents Canada Ltd,"A outdoor music festivals for all ages. Will include live performances, food trucks, and alcohol/beverage service.",X92 Radio Fest,Festivals / major events,Event,https://www.trumba.com/calendars/map-feeds?eventid=131287301,Jun 22 2019 1 - 11 p.m.,June 22 2019 1 - 11 p.m.,2019/06/22,-114.090678999651,51.0461490001499,"(51.0461490001499, -114.090678999651)"
330 42 Avenue SW,Ridley Enterprises Inc,"5k Fun run, for the whole family. Participants will enjoy run 5k and playing on 9 inflatable obstacles.",Mega Bounce Run,Athletic / sport,Event,http://www.megabouncerun.ca,Jun 29 2019 10 a.m. - 1 p.m.,June 29 2019 10 a.m. - 1 p.m.,2019/06/29,-114.070022999668,51.015646999899,"(51.015646999899, -114.070022999668)"
27 Prince's Island Path SW,Street Church,"This event is a rallying call for the youth to come out and get excited for Jesus. We believe that this will light a fire and encourage the youth to be even more excited about living out loud for Jesus.  The focus of this event is to pray and worship, and to spend some time together with a Christian family.  Chaperons and those who are young at heart, come and lead the way as an example to the future generation.",Youth Rally,Athletic / sport,Event,http://www.marchforjesus.ca,Jun 23 2019 12 - 9 p.m.,June 23 2019 12 - 9 p.m.,2019/06/23,-114.070248999623,51.0556370002533,"(51.0556370002533, -114.070248999623)"
5050 Spruce Drive SW,Venezuelan Canadian Association of Calgary VCAC,This is an Annual event celebrated in the City of Calgary and organized by the VCAC Venezuelan Canadian Association of Calgary.,2019 Picnic Con los Panas,Community event,Event,https://www.trumba.com/calendars/map-feeds?eventid=131288940,Jun 23 2019 10 a.m. - 6 p.m.,June 23 2019 10 a.m. - 6 p.m.,2019/06/23,-114.157704999742,51.0638760000266,"(51.0638760000266, -114.157704999742)"
222 8 Avenue SE,Creative Arts Society,"The programming and project allows tenured and local talent to collaborate, mentor and build relationships as we move forward in the industry. It would also be a great opportunity to invite everyone in Calgary and surrounding areas to come out at that time and really enjoy, dance and have the best experience they ever had!",Indigenous Sounds Music Festival,Festivals / major events,Event,https://www.trumba.com/calendars/map-feeds?eventid=131288511,Jun 22 2019 10 a.m. - 5 p.m.,June 22 2019 10 a.m. - 5 p.m.,2019/06/22,-114.059478999766,51.0457489997706,"(51.0457489997706, -114.059478999766)"
1001 Barlow Trail SE,Market YYC Association,"MarketSpot holds a massive outdoor party on Canada Day, featuring nearly 100 vendors, 2 live music stages BassBus, food trucks, kids activities and more!",Canada Day Block Party,Festivals / major events,Event,http://www.marketspotyyc.com,Jul 1 2019 12 - 11 p.m.,July 1 2019 12 - 11 p.m.,2019/07/01,-114.004248999555,51.0420740001249,"(51.0420740001249, -114.004248999555)"
750 9 Avenue SE,Fort Calgary National Historic Site,"Family-friendly activities for free on the grounds, including: bubble ball tournament, face painting, RCMP uniform try-on, family-friendly beer garden and BBQ, food trucks, face painting, and more! Free on the grounds, and by admission inside Fort Calgary.",Canada Day at Fort Calgary,Festivals / major events,Event,http://www.fortcalgary.com,Jul 1 2019 12 - 8 p.m.,July 1 2019 12 - 8 p.m.,2019/07/01,-114.04392199993,51.044586999793,"(51.044586999793, -114.04392199993)"
7305 Crowchild Trail SW,Calgary Rowing Club,"The Alberta Open is a rowing regatta hosted on the Glenmore Reservoir. It is attended by Rowing Clubs within the AB province, Manitoba, Sask and BC. It is the largest rowing regatta hosted in Calgary and provides a great opportunity for athletes to compete and for spectators to join and observe what rowing is like.",Alberta Open Regatta,Athletic / sport,Event,http://www.calgaryrowing.com/ABOpen,Jul 6 2019 6:30 a.m. - 6 p.m.<br>Jul 7 2019 6:30 a.m. - 6 p.m.,July 6 2019 6:30 a.m. - 6 p.m.,2019/07/06,-114.122718999786,50.9885010001202,"(50.9885010001202, -114.122718999786)"
222 8 Avenue SE,Calgary Stampede - Downtown Attractions DTA,"Outdoor Festival with on stage entertainment, horses, wagons, First Nation Parade dancing, and pancake breakfasts.",DTA Rope Square 2019,Community event,Event,http://www.stampede-downtownattractions.com,Jul 5 2019 7:30 a.m. - 2 p.m.<br>Jul 6 2019 7:30 a.m. - 2 p.m.<br>Jul 7 2019 7:30 a.m. - 2 p.m.<br>Jul 8 2019 7:30 a.m. - 2 p.m.<br>Jul 9 2019 7:30 a.m. - 2 p.m.<br>Jul 10 2019 7:30 a.m. - 2 p.m.<br>Jul 11 2019 7:30 a.m. - 2 p.m.<br>Jul 12 2019 7:30 a.m. - 2 p.m.<br>Jul 13 2019 7:30 a.m. - 2 p.m.,July 5 2019 7:30 a.m. - 2 p.m.,2019/07/05,-114.059478999766,51.0457489997706,"(51.0457489997706, -114.059478999766)"
2539 33 Avenue SW,City of Calgary,"<b>Ages: 6Y and up + adult</b>  Spend time with your family and have fun golfing together.  Free golf for juniors 6Y – 17Y with a paying adult  (one adult per foursome required).  Green fees include: 9 holes, giveaways, game and etiquette tips and golf pro on selected evenings (only from 5:00pm – 7:00pm) with free golf tips.  <strong>Four day advanced tee times recommended </strong>at <a href=""http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx"" target=""_blank"">calgary.ca/golf </a>or call 403-221-3510.",Family Golf Nights – Juniors are FREE!,"Admission specials,Athletic / sport,Recreation and leisure",Event,http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Richmond-Green.aspx,Jul 6 2019 5 - 8:30 p.m.<br>Jul 27 2019 5 - 8:30 p.m.<br>Aug 24 2019 5 - 8:30 p.m.,July 6 2019 5 - 8:30 p.m.,2019/07/06,-114.121573999938,51.0230909998152,"(51.0230909998152, -114.121573999938)"
330 42 Avenue SW,JDRF,"An annual event to raise money for research into a cure for type 1 diabetes.  Over 2,000 participants donate pledged funds and come down for a fun day in the park. Food, music and family activities will be on site.",Sun Life Walk to Cure Diabetes for JDRF,,Event,https://www.trumba.com/calendars/map-feeds?eventid=131127989,Jun 9 2019 6 a.m. - 2 p.m.,June 9 2019 6 a.m. - 2 p.m.,2019/06/09,-114.070022999668,51.015646999899,"(51.015646999899, -114.070022999668)"
2623 56 Street NE,,"Last Call - $3 admissions are repeated every Mondays, Tuesdays, Thursdays and Fridays from 9 p.m. - 10 p.m.",Last call - $3 admission,Admission specials,Event,https://www.trumba.com/calendars/map-feeds?eventid=127219343,Mar 18 2019 9 - 10 p.m.<br>Mar 19 2019 9 - 10 p.m.<br>Mar 21 2019 9 - 10 p.m.<br>Mar 22 2019 9 - 10 p.m.<br>Mar 25 2019 9 - 10 p.m.<br>Mar 26 2019 9 - 10 p.m.<br>Mar 28 2019 9 - 10 p.m.<br>Mar 29 2019 9 - 10 p.m.<br>Apr 1 2019 9 - 10 p.m.<br>Apr 2 2019 9 - 10 p.m.<br>Apr 4 2019 9 - 10 p.m.<br>Apr 5 2019 9 - 10 p.m.<br>Apr 8 2019 9 - 10 p.m.<br>Apr 9 2019 9 - 10 p.m.<br>Apr 11 2019 9 - 10 p.m.<br>Apr 12 2019 9 - 10 p.m.<br>Apr 15 2019 9 - 10 p.m.<br>Apr 16 2019 9 - 10 p.m.<br>Apr 18 2019 9 - 10 p.m.<br>Apr 19 2019 9 - 10 p.m.<br>Apr 22 2019 9 - 10 p.m.<br>Apr 23 2019 9 - 10 p.m.<br>Apr 25 2019 9 - 10 p.m.<br>Apr 26 2019 9 - 10 p.m.<br>Apr 29 2019 9 - 10 p.m.<br>Apr 30 2019 9 - 10 p.m.<br>May 2 2019 9 - 10 p.m.<br>May 3 2019 9 - 10 p.m.<br>May 6 2019 9 - 10 p.m.<br>May 7 2019 9 - 10 p.m.<br>May 9 2019 9 - 10 p.m.<br>May 10 2019 9 - 10 p.m.<br>May 13 2019 9 - 10 p.m.<br>May 14 2019 9 - 10 p.m.<br>May 16 2019 9 - 10 p.m.<br>May 17 2019 9 - 10 p.m.<br>May 20 2019 9 - 10 p.m.<br>May 21 2019 9 - 10 p.m.<br>May 23 2019 9 - 10 p.m.<br>May 24 2019 9 - 10 p.m.<br>May 27 2019 9 - 10 p.m.<br>May 28 2019 9 - 10 p.m.<br>May 30 2019 9 - 10 p.m.<br>May 31 2019 9 - 10 p.m.<br>Jun 3 2019 9 - 10 p.m.<br>Jun 4 2019 9 - 10 p.m.<br>Jun 6 2019 9 - 10 p.m.<br>Jun 7 2019 9 - 10 p.m.<br>Jun 10 2019 9 - 10 p.m.<br>Jun 11 2019 9 - 10 p.m.<br>Jun 13 2019 9 - 10 p.m.<br>Jun 14 2019 9 - 10 p.m.<br>Jun 17 2019 9 - 10 p.m.<br>Jun 18 2019 9 - 10 p.m.<br>Jun 20 2019 9 - 10 p.m.<br>Jun 21 2019 9 - 10 p.m.<br>Jun 24 2019 9 - 10 p.m.<br>Jun 25 2019 9 - 10 p.m.<br>Jun 27 2019 9 - 10 p.m.<br>Jun 28 2019 9 - 10 p.m.<br>Jul 1 2019 9 - 10 p.m.<br>Jul 2 2019 9 - 10 p.m.<br>Jul 4 2019 9 - 10 p.m.<br>Jul 5 2019 9 - 10 p.m.<br>Jul 8 2019 9 - 10 p.m.<br>Jul 9 2019 9 - 10 p.m.<br>Jul 11 2019 9 - 10 p.m.<br>Jul 12 2019 9 - 10 p.m.<br>Jul 15 2019 9 - 10 p.m.<br>Jul 16 2019 9 - 10 p.m.<br>Jul 18 2019 9 - 10 p.m.<br>Jul 19 2019 9 - 10 p.m.<br>Jul 22 2019 9 - 10 p.m.<br>Jul 23 2019 9 - 10 p.m.<br>Jul 25 2019 9 - 10 p.m.,March 18 2019 9 - 10 p.m.,2019/03/18,-113.954561000081,51.0760339999386,"(51.0760339999386, -113.954561000081)"
11024 Braeside Drive SW,Braeside Community Association,"This annual event gets bigger and better each year.  We encourage local businesses, sports teams, youth groups and families to get involved.  The Parade is 1/2 hour long and winds its way throughout Braeside ending at the Community Centre with a hot dog barbeque lunch service to participants.",Braeside Community's Annual Kick Off to Summer Parade,,Event,https://www.trumba.com/calendars/map-feeds?eventid=131123220,Jun 8 2019 12 - 2 p.m.,June 8 2019 12 - 2 p.m.,2019/06/08,-114.102036399788,50.9543461102064,"(50.9543461102064, -114.102036399788)"
1221 2 Street SW,Calgary Public Library,"Come together with some of Calgary's finest musicians, dancers, and music lovers to weave a mixture of styles into a one-of-a kind experience in this special outdoor edition of One Big JAM. Join in with the band or just come for the show. In partnership with One Big JAM, Calgary Public Library, Victoria Park BIA, and the City of Calgary.",One Big JAM  From the Heart of the City,Festivals / major events,Event,http://www.onebigjam.com,Jul 20 2019 1 - 5 p.m.,July 20 2019 1 - 5 p.m.,2019/07/20,-114.070132000346,51.0411760000142,"(51.0411760000142, -114.070132000346)"
1220 9 Avenue SW,Radha Madhav Cultural Association,"The Festival of The Chariots originated thousands of years ago in Jagannatha Puri in Orissa in India and celebrated in major towns across India. The carved and colorfully-painted chariots, liberally bedecked with flowers and garlands, are accompanied by enthusiastic congregational chanting, singing, and dancing by tens of hundreds of devotees. After the procession, there is a large free feast of Krishna vegetarian food for all participants and visitors. The intent is to bring peace and happiness in everyone¿s life. In the Western world, the event took place 50 years ago, in 1967, in San Francisco. Apart from dozens of cities across the United States, it has been held in over 60 countries. In Calgary, we have been organizing this event for the last 14 years and this will be our 15th year of Rath Yatra Festival of Chariots, which will be held on July 20th, 2019",Festival of Chariots,Festivals / major events,Event,http://calgary.iskcon.ca/,Jul 20 2019 6 a.m. - 6 p.m.,July 20 2019 6 a.m. - 6 p.m.,2019/07/20,-114.090678999651,51.0461490001499,"(51.0461490001499, -114.090678999651)"
800 Macleod Trail SE,,,SPC on Community and Protective Services,Board meeting,City Business,https://www.trumba.com/calendars/map-feeds?eventid=129965888,Apr 10 2019 9:30 a.m. - 12:30 p.m.<br>May 8 2019 9:30 a.m. - 12:30 p.m.<br>Jun 12 2019 9:30 - 10:30 p.m.<br>Jul 24 2019 1 - 4 p.m.,April 10 2019 9:30 a.m. - 12:30 p.m.,2019/04/10,-114.056561000432,51.0456359997832,"(51.0456359997832, -114.056561000432)"
523 27 Avenue NW,,"Welcome, spring gardeners, to the North Mount Pleasant Art Centre's Perennial Plant Exchange!  Bring a plant, take a plant... or bring 2 or 3 or 4 and take the same. Please invite others so we can grow spirited conversations!  Note: This event will be held rain or shine.",Perennial Plant Exchange,,Event,https://www.facebook.com/NorthMountPleasantArtsCentre/,May 26 2019 10 a.m. - 12 p.m.,May 26 2019 10 a.m. - 12 p.m.,2019/05/26,-114.072677000309,51.0767850001773,"(51.0767850001773, -114.072677000309)"
223 Castleridge Boulevard NE,Calgary Christian Festival Ministry,"The purpose of the group is to execute an ecumenical Christian art festival Music, poetry, and other forms of art to celebrate Christ. The event is open to anyone and is free to attend. Therefore any surplus revenue generated will be moved forward to the following year as this is a recurring yearly event. This is an outdoor Christian festival using arts to express our faith. Performers will be from different cultural background and ethnicity. The only criteria on performances are the celebration of Christ through whichever form of art chosen. The event is open to anyone, there is no cost to attendees and we showcase a charity to bring awareness for social justice.",Calgary Christian Festival Ministry,Festivals / major events,Event,https://www.trumba.com/calendars/map-feeds?eventid=131334860,Jul 27 2019 3 - 9:30 p.m.,July 27 2019 3 - 9:30 p.m.,2019/07/27,-113.97052899982,51.1042638998331,"(51.1042638998331, -113.97052899982)"
800 Macleod Trail SE,,,Special Council Meeting Wholly Owned Subsidiaries,City Council,City Business,https://www.trumba.com/calendars/map-feeds?eventid=129965901,Apr 15 2019 9:30 a.m. - 12:30 p.m.,April 15 2019 9:30 a.m. - 12:30 p.m.,2019/04/15,-114.056561000432,51.0456359997832,"(51.0456359997832, -114.056561000432)"
27 Prince's Island Path SW,Folk Festival,40th Anniversary of the Calgary Folk Music Festival on Princes Island.,Calgary Folk Music Festival,Festivals / major events,Event,http://www.calgaryfolkfest.com,Jul 25 2019 1 - 11 p.m.<br>Jul 26 2019 1 - 11 p.m.<br>Jul 27 2019 1 - 11 p.m.<br>Jul 28 2019 1 - 11 p.m.,July 25 2019 1 - 11 p.m.,2019/07/25,-114.070248999623,51.0556370002533,"(51.0556370002533, -114.070248999623)"
222 8 Avenue SE,Calgary Arab Festival Committee,"The Calgary Arab festival is a free, family friendly event that will showcase various Arabian traditions such as folk dance, traditional music, Arabic women's customs, Art gallery, and other activities. The Arab festival is presented as a platform to share Arabian history and civilization to the public here in Calgary. The 6th Calgary Arab Festival will be a two day festival that will be held in downtown Calgary, at Olympic Plaza.",6th Calgary Arab Festival,Festivals / major events,Event,http://yycarabfest.com,Jul 27 2019 10 a.m. - 8 p.m.<br>Jul 28 2019 10 a.m. - 8 p.m.,July 27 2019 10 a.m. - 8 p.m.,2019/07/27,-114.059478999766,51.0457489997706,"(51.0457489997706, -114.059478999766)"
5299 Bowness Road NW,Calgary Roadrunners,41st annual 5k and 10k running race charity event. Starts at Shouldice Park and runs mostly along the pathways.,Calgary Women's Run,Athletic / sport,Event,https://www.calgaryroadrunners.com,Aug 25 2019 8:30 - 11 a.m.,August 25 2019 8:30 - 11 a.m.,2019/08/25,-114.17408099991,51.0737960002812,"(51.0737960002812, -114.17408099991)"
3363 Spruce Drive SW,City of Calgary,"<p>Join us and be part of a massive, nation-wide celebration of dance! Learn the 2019 Sharing Dance routine for free with a professional dancer at Wildflower Arts Centre. The National Ballet School of Canada is partnering with artists across the country to engage all Canadians in this shared expression of joy. For more information, visit on <a href=""www.sharingdance.ca"">www.sharingdance.ca</a> or call 403-249-3773.</p> <p>All Ages</p>",Sharing Dance,"Admission specials,Informational / educational,Recreation and leisure",Event,http://www.calgary.ca/CSPS/Recreation/Pages/Arts-centres/Wildflower.aspx,Mar 23 2019 3:30 - 4:30 p.m.<br>Apr 13 2019 3:30 - 4:30 p.m.<br>Apr 27 2019 3:30 - 4:30 p.m.<br>May 4 2019 3:30 - 4:30 p.m.<br>May 11 2019 3:30 - 4:30 p.m.<br>May 25 2019 3:30 - 4:30 p.m.<br>Jun 1 2019 3:30 - 4:30 p.m.<br>Jun 8 2019 3:30 - 4:30 p.m.<br>Jun 15 2019 3:30 - 4:30 p.m.<br>Jun 22 2019 3:30 - 4:30 p.m.<br>Jun 29 2019 3:30 - 4:30 p.m.,March 23 2019 3:30 - 4:30 p.m.,2019/03/23,-114.135551999558,51.0464229999073,"(51.0464229999073, -114.135551999558)"
1221 2 Street SW,Victoria Park BIA,"The Victoria Park BIA will host a free stage in Central Memorial Park, as part of Sled Island Music  Arts Festival. This is a free, all-ages and family-friendly event.",Sled Island in Central Memorial Park,Festivals / major events,Event,https://www.trumba.com/calendars/map-feeds?eventid=131288424,Jun 22 2019 12 - 5 p.m.<br>Jun 23 2019 12 - 5 p.m.,June 22 2019 12 - 5 p.m.,2019/06/22,-114.070132000346,51.0411760000142,"(51.0411760000142, -114.070132000346)"
1600 32 Avenue NE,City of Calgary,"Par 3 Course <b>Ages: 6Y and up + adult</b>  Spend time with your family and have fun golfing together.  Free golf for juniors 6Y – 17Y with a paying adult  (one adult per foursome required).  Green fees include: 9 holes, giveaways, game and etiquette tips and golf pro on selected evenings (only from 5:00pm – 7:00pm) with free golf tips.  <strong>Four day advanced tee times recommended </strong>at <a href=""http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx"" target=""_blank"">calgary.ca/golf </a>or call 403-221-3510.",Family Golf Nights – Juniors are FREE!,"Admission specials,Athletic / sport,Recreation and leisure",Event,http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/McCall-Lake.aspx,Jun 22 2019 5 - 8:30 p.m.<br>Jul 20 2019 5 - 8:30 p.m.<br>Aug 17 2019 5 - 8:30 p.m.,June 22 2019 5 - 8:30 p.m.,2019/06/22,-114.01504500025,51.0830809998059,"(51.0830809998059, -114.01504500025)"
27 Prince's Island Path SW,Hispanic Arts Society,"Expo Latino is  a 3-day event, it is a celebration of Latin/Hispanic music and dance with presentations on the main stage of professional world class national and international performers as well as the local artists.  The festival includes and arts market as well as food vendors featuring culinary Latin delights.  Business and community booths also participate in the festival market.  The festival also include a large Beer Garden and children area.",Expo Latino Festival,Festivals / major events,Event,http://expolatino.com,Aug 16 2019 2 - 8 p.m.<br>Aug 17 2019 2 - 8 p.m.<br>Aug 18 2019 2 - 8 p.m.,August 16 2019 2 - 8 p.m.,2019/08/16,-114.070248999623,51.0556370002533,"(51.0556370002533, -114.070248999623)"
750 9 Avenue SE,Aboriginal Friendship Centre of Calgary Hu,"Aboriginal Awareness Week Calgary  AAWC plans and facilitated a variety of week long events throughout Calgary and area to celebrate, share their culture, traditions and heritage through song, dance, language, ceremony in community gathering, honoring identity as Indigenous people of Canada.  We invite Calgary to host their own event to celebrate Indigenous, Metis and Inuit Awareness Week and to take pride in being aboriginal Support:  AAWC vision to create new opportunities for people to share openly and learn from one another.  By working together with open hearts and minds we strengthen our community and create new opportunities.",Aboriginal Week CalgaryAAWC Family Day  Pow-wow,Festivals / major events,Event,http://www.aawc.ca,Jun 23 2019 6 a.m. - 9:30 p.m.,June 23 2019 6 a.m. - 9:30 p.m.,2019/06/23,-114.04392199993,51.044586999793,"(51.044586999793, -114.04392199993)"
​1300 Zoo Road NE,Calgary Run for Water,"The Run for Water exists to stage a high-calibre, family-friendly race event to raise awareness and funds for issues aorund access to safe water in the country of Ethiopia. We partner with the Calgarian Ethiopian Community and local businesses to make this happen each year. We host a 5KM, 10KM and new this year- a 61KM event.",Calgary Run For Water- 61KM Ultramarathon,Athletic / sport,Event,https://runforwater.ca/calgary/,Jun 8 2019 5:30 a.m. - 12 p.m.,June 8 2019 5:30 a.m. - 12 p.m.,2019/06/08,-114.029725000027,51.0468579998123,"(51.0468579998123, -114.029725000027)"
1221 2 Street SW,Center Street Church and Gideons International,"To join the city with celebrations of the Calgary Stampede, we'll have a tent with music, food, games and more!",Center Street Church  Gideon's Outreach,Festivals / major events,Event,https://www.trumba.com/calendars/map-feeds?eventid=131355578,Jul 6 2019 8 a.m. - 10 p.m.<br>Jul 7 2019 8 a.m. - 10 p.m.,July 6 2019 8 a.m. - 10 p.m.,2019/07/06,-114.070132000346,51.0411760000142,"(51.0411760000142, -114.070132000346)"
2000 Southland Drive SW,City of Calgary,"Come to Southland Leisure Centre’s annual Stampede Breakfast for food, music, dancing, petting zoo, face painting and much more! All Ages.",Stampede Breakfast,"Admission specials,Community event,Festivals / major events,Recreation and leisure",Event,https://www.trumba.com/calendars/map-feeds?eventid=131038023,Jul 11 2019 9 - 11 a.m.,July 11 2019 9 - 11 a.m.,2019/07/11,-114.108651999579,50.962339999962,"(50.962339999962, -114.108651999579)"
439 8 Avenue SE,YYCFoodTrucks,"Music, Community, Food Trucks,  Fun.",YYCFoodTrucks Spring Frenzy,Community event,Event,http://yycfoodtrucks.com,Apr 27 2019 11 a.m. - 7 p.m.<br>Apr 28 2019 11 a.m. - 7 p.m.,April 27 2019 11 a.m. - 7 p.m.,2019/04/27,-114.053575000427,51.0450880000679,"(51.0450880000679, -114.053575000427)"
4500 14A Street SW,Be There Races,"A 3, 5  8 km trail race with start and finish point in Sandy Beach. Run routes are exclusively on trails around in and around Sandy Beach with a small connector on the bike path.",Spring Trio Trail,"Athletic / sport,Recreation and leisure",Event,http://www.bethereraces.com,May 1 2019 5 - 8:30 p.m.,May 1 2019 5 - 8:30 p.m.,2019/05/01,-114.089994999936,51.0103599998493,"(51.0103599998493, -114.089994999936)"
3375 Spruce Drive SW,Bow Cliff Seniors,"This event is our second annual Spruce Cliff Community picnic.  It is designed to draw our neighbourhood together, get to know one another better, developing and enhancing community spirit by uniting all ages and ethnicities through kid's fun, food and entertainment.",Spruce Cliff Picnic,Community event,Event,http://www.sprucecliff.org,Jun 22 2019 11 a.m. - 8 p.m.,June 22 2019 11 a.m. - 8 p.m.,2019/06/22,-114.135770000016,51.0473199997912,"(51.0473199997912, -114.135770000016)"
9035 24 Street SW,Southern Aalberta Myeloma Patient Society,"Our event is a family fun day of a 5k walk with face painters, music, massage therapy,  special guests all to entertain the family. All ages are welcome and we will have tents and chairs for protection from the elements along with First Aid services should the need arise. We will have local dignitaries, Stampede Queen and princesses past and present and the Team 501Star Wars characters. All of this is in aid of raising monies to support our local charity which supports local research initiatives for the treatment of Multiple Myeloma. The research is done thru the University of Calgary division of Hematology Research and Education Fund.",Multiple Miles for Myeloma,Athletic / sport,Event,http://samps.ca,Jul 27 2019 8:30 a.m. - 1:30 p.m.,July 27 2019 8:30 a.m. - 1:30 p.m.,2019/07/27,-114.122512000097,50.974393000176,"(50.974393000176, -114.122512000097)"
223 Castleridge Boulevard NE,Ahmadiyya Muslim Jama'at Calgary,"It is a multi cultural/ethnic/ program attended by all irrespective of their faith, culture, ethnicity, gender and age The unique thing about this program is that more than 6000 participants are served FREE BBQ about 10,000 burgers/patties are served during the program duration. Though there are no statistics the growing attendance is witness to the success of the program. The program is so popular that there are visitors from outside Calgary who enjoy the festivities. The importance of the program can be measures by the participation of Federal/Provincial ministers,   The Mayor, Counselors, community leaders, Police services, EMS, Calgary Fire Department  who bring Canada Day messages",Ahmadiyya Muslim Jama'at Canada Day 2019,Festivals / major events,Event,http://www.celebratecanada.ca,Jul 1 2019 11 a.m. - 2 p.m.,July 1 2019 11 a.m. - 2 p.m.,2019/07/01,-113.97052899982,51.1042638998331,"(51.1042638998331, -113.97052899982)"
313 7 Avenue SE,,,Intergovernmental Affairs Committee,Board meeting,City Business,https://www.trumba.com/calendars/map-feeds?eventid=129953438,Mar 21 2019 9:30 a.m. - 12:30 p.m.<br>Apr 18 2019 9:30 a.m. - 12:30 p.m.<br>May 16 2019 9:30 a.m. - 12:30 p.m.<br>Jun 20 2019 9:30 a.m. - 12:30 p.m.<br>Jul 25 2019 9:30 a.m. - 12:30 p.m.,March 21 2019 9:30 a.m. - 12:30 p.m.,2019/03/21,-114.056563000082,51.0461290001,"(51.0461290001, -114.056563000082)"
2000 Southland Drive SW,,Toys in the Waterpark from 7:00 - 9:00 p.m. Try out our giant inflatable obstacle course or “walk on water” in one of our WOW balls. Anyone age 7 and up can try them out. General admission applies.,Toys in the Waterpark,Recreation and leisure,Event,http://www.calgary.ca/CSPS/Recreation/Pages/Leisure-centres/Toys-in-the-Waterpark.aspx,Mar 21 2019 7 - 9 p.m.<br>Mar 28 2019 7 - 9 p.m.<br>Apr 4 2019 7 - 9 p.m.<br>Apr 11 2019 7 - 9 p.m.<br>Apr 18 2019 7 - 9 p.m.<br>Apr 25 2019 7 - 9 p.m.<br>May 2 2019 7 - 9 p.m.<br>May 9 2019 7 - 9 p.m.<br>May 16 2019 7 - 9 p.m.<br>May 23 2019 7 - 9 p.m.<br>May 30 2019 7 - 9 p.m.<br>Jun 6 2019 7 - 9 p.m.<br>Jun 13 2019 7 - 9 p.m.<br>Jun 20 2019 7 - 9 p.m.<br>Jun 27 2019 7 - 9 p.m.<br>Jul 4 2019 7 - 9 p.m.<br>Jul 11 2019 7 - 9 p.m.<br>Jul 18 2019 7 - 9 p.m.<br>Jul 25 2019 7 - 9 p.m.<br>Aug 1 2019 7 - 9 p.m.<br>Aug 8 2019 7 - 9 p.m.<br>Aug 15 2019 7 - 9 p.m.<br>Aug 22 2019 7 - 9 p.m.<br>Aug 29 2019 7 - 9 p.m.,March 21 2019 7 - 9 p.m.,2019/03/21,-114.108651999579,50.962339999962,"(50.962339999962, -114.108651999579)"
313 7 Avenue SE,,,"Gas, Power and Telecommunications Committee",Board meeting,City Business,https://www.trumba.com/calendars/map-feeds?eventid=129965891,Apr 11 2019 9:30 - 10:30 a.m.<br>May 9 2019 9:30 a.m. - 12:30 p.m.<br>Jun 13 2019 9:30 a.m. - 12:30 p.m.<br>Jul 25 2019 1 - 4 p.m.,April 11 2019 9:30 - 10:30 a.m.,2019/04/11,-114.056563000082,51.0461290001,"(51.0461290001, -114.056563000082)"
2623 56 Street NE,City of Calgary,"<p>Experience the movies like never before! Come settle in for a night at the movies in the waterpark. Lounge poolside or watch from the water itself. You'll enjoy a great film and an even better time with friends, family and neighbours. Check our <a href=""https://www.facebook.com/VillageSquareLeisureCentre/"">Facebook page</a> for specific movie titles near to dates.</p> <p><strong>All Ages</strong></p>",Dive In Movie,Recreation and leisure,Event,http://www.calgary.ca/CSPS/Recreation/Pages/Leisure-centres/Village-Square.aspx,Mar 22 2019 6 - 8 p.m.,March 22 2019 6 - 8 p.m.,2019/03/22,-113.954561000081,51.0760339999386,"(51.0760339999386, -113.954561000081)"
800 Macleod Trail SE,,No public presentations.,Civic Partners,Board meeting,City Business,https://www.trumba.com/calendars/map-feeds?eventid=129976461,May 7 2019 9:30 a.m. - 12:30 p.m.,May 7 2019 9:30 a.m. - 12:30 p.m.,2019/05/07,-114.056561000432,51.0456359997832,"(51.0456359997832, -114.056561000432)"
